A man speaks with a low sad expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A woman continues speaking, a subtle sad tone shaping each line. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A boy talks with clear diction, showing a slight sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A girl delivers a short line, marked by a faint sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A lady gives a brief remark, sustained by a low-key sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A gentleman speaks in an even cadence, carrying a low sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
An old man talks at a natural pace, with a subtle sad expression throughout. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
An old woman presents remarks, voice colored by a slight sad tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A young man narrates a sentence, maintaining a faint sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A young woman explains the point, showing a low-key sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A middle-aged man speaks with measured delivery, revealing a low sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A middle-aged woman talks with lively delivery, framed by a subtle sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
An elderly man shares a thought, under a slight sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
An elderly woman offers a line, the faint sad tone consistent. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A teen boy continues a short monologue, keeping a low-key sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A teen girl provides commentary, pairing it with a low sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male teacher outlines a point, with a subtle sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female teacher introduces the next idea, keeping a slight sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male doctor makes a brief announcement, showing a faint sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female doctor speaks in concise phrases, under a low-key sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male engineer talks in steady phrases, with a low sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female engineer adds a sentence, voice carrying a subtle sad tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male student elaborates briefly, maintaining a slight sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female student comments succinctly, under a faint sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male athlete clarifies a detail, with a low-key sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female athlete speaks with crisp articulation, showing a low sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male artist talks with soft articulation, holding a subtle sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female artist speaks with steady voice, keeping a slight sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male scientist talks with gentle voice, presenting a faint sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female scientist speaks in a calm rhythm, under a low-key sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male singer talks in a confident rhythm, showing a low sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female singer delivers a short statement, paired with a subtle sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male presenter reads a line aloud, featuring a slight sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female presenter recites a brief line, with a faint sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male chef speaks in brief clauses, keeping a low-key sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female chef talks in brief clauses, maintaining a low sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male office worker speaks as if presenting, marked by a subtle sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female office worker speaks as if briefing, with a slight sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male interviewer speaks as if teaching, under a faint sad tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female interviewer speaks as if hosting, carrying a low-key sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male gamer recounts a line, revealing a low sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female gamer summarizes briefly, with a subtle sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male vlogger paraphrases a point, showing a slight sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female vlogger emphasizes a word, the faint sad tone evident. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male news anchor pauses, then continues speaking with a low-key sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female news anchor enunciates carefully, carrying a low sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male professor articulates clearly, sustaining a subtle sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female professor speaks fluidly, with a slight sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male customer support agent talks fluidly, showing a faint sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A female customer support agent speaks steadily, keeping a low-key sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A man talks steadily, maintaining a evident sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_distinct
A woman speaks naturally, with a moderate sad tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_distinct
A boy talks naturally, under a medium sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_distinct
A girl speaks in a warm cadence, revealing a noticeable sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_distinct
A lady talks in a warm cadence, keeping a evident sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_distinct
